total,filter,remove,rank,organization,country,country_iso,ratio,asn,region
22,0,0,34511,Costa Net,Brazil,BR,0,271270,LACNIC
22,0,0,34511,RASÃO SYGANET TELECOMUNICAÇÕES LTDA,Brazil,BR,0,268879,LACNIC
22,0,0,34511,MV NET,Brazil,BR,0,270448,LACNIC
22,0,0,34511,CONECTA TELECOM LTDA,Brazil,BR,0,270793,LACNIC
22,0,0,34511,Telemulti Fiber Ltda.,Brazil,BR,0,270429,LACNIC
22,0,0,34511,NAVEX INTERNET LTDA,Brazil,BR,0,270753,LACNIC
22,0,0,34511,CONECTJET LAGOS INTERNET BANDA LARGA LTDA - ME,Brazil,BR,0,266985,LACNIC
22,0,0,34511,CRISTIAN MARY HILGEMBERG BUENO - ME,Brazil,BR,0,269006,LACNIC
22,0,0,34511,Casavechia & Pierobom Telecomunicações Ltda - Me,Brazil,BR,0,268394,LACNIC
22,0,0,34511,ALVES E ALCANTARA LTDA,Brazil,BR,0,270909,LACNIC
22,0,0,34511,NET MIX LTDA - ME,Brazil,BR,0,270965,LACNIC
22,0,0,34511,PROVEDOR CARIRI CONECT,Brazil,BR,0,265199,LACNIC
22,0,0,34511,Bignet Telecom,Brazil,BR,0,266393,LACNIC
22,21,0,34511,ONLLINE TELECOMUNICACOES LTDA,Brazil,BR,0.95,269614,LACNIC
22,0,0,34511,GM Telecom LTDA,Brazil,BR,0,271034,LACNIC
22,0,0,34511,TSCM NET BRASIL TELECOMUNICAÇÕES LTDA,Brazil,BR,0,267425,LACNIC
22,0,0,34511,SEVEN TELECOM EIRELI,Brazil,BR,0,269682,LACNIC
22,0,0,34511,silva souza comercio e serviço de informatica ltda,Brazil,BR,0,264985,LACNIC
22,0,0,34511,Impacto Informatica LTDA ME,Brazil,BR,0,263932,LACNIC
22,0,0,34511,TELEINFOR COMERCIO E SERVIÇO LTDA-ME,Brazil,BR,0,265913,LACNIC
22,0,0,34511,P. R. DOS SANTOS SERVICOS DE COM MULT SCM,Brazil,BR,0,269227,LACNIC
22,0,0,34511,AERO REDE,Brazil,BR,0,263286,LACNIC
22,0,0,34511,MEGA TELECON PROVEDOR DE INTERNET LTDA ME,Brazil,BR,0,265169,LACNIC
22,0,0,34511,NTi Equipamentos para Escritorio LTDA.,Brazil,BR,0,264933,LACNIC
22,0,0,34511,WIKINET TELECOMUNICAÇÕES,Brazil,BR,0,267405,LACNIC
22,0,0,34511,CM TELECOM,Brazil,BR,0,267639,LACNIC
22,0,0,34511,LJ FELEX,Brazil,BR,0,267937,LACNIC
22,0,0,34511,C Sanches de Souza,Brazil,BR,0,271216,LACNIC
22,0,0,34511,EMISSON SOUSA SILVA,Brazil,BR,0,271428,LACNIC
22,0,0,34511,Downup Telecomunicacoes e servico LTDA,Brazil,BR,0,53004,LACNIC
22,0,0,34511,Perfect Net Telecom,Brazil,BR,0,271208,LACNIC
22,0,0,34511,NDC PROVEDOR DE INTERNET LTDA,Brazil,BR,0,262739,LACNIC
22,0,0,34511,PORTAL LINK TELECOM,Brazil,BR,0,264891,LACNIC
22,22,0,34511,VIPMAX INTERNET LTDA,Brazil,BR,1,263492,LACNIC
22,0,0,34511,Rádio Link Net Informática LTDA,Brazil,BR,0,266283,LACNIC
22,0,0,34511,Giga Tecnologia em Redes e Internet EIRELI,Brazil,BR,0,267365,LACNIC
22,0,0,34511,COMBO BRASIL INFORMATICA LTDA,Brazil,BR,0,271125,LACNIC
22,0,0,34511,NORTRIX ME,Brazil,BR,0,269611,LACNIC
22,0,0,34511,ED-LINK TELECOM,Brazil,BR,0,267542,LACNIC
22,0,0,34511,PROVEDOR RODRIGUES FERREIRA LTDA,Brazil,BR,0,269459,LACNIC
22,0,0,34511,Ig telecom,Brazil,BR,0,266324,LACNIC
22,0,0,34511,C P DO NASCIMENTO SERVICOS DE COMUNICACAO,Brazil,BR,0,269438,LACNIC
22,0,0,34511,MEGA TOP MULTIMÍDIA LTDA-ME,Brazil,BR,0,268664,LACNIC
22,0,0,34511,TTINET TELECOMUNICACOES LTDA,Brazil,BR,0,269479,LACNIC
22,0,0,34511,RAMOS E CARVALHO PROVEDOR DE ACESSO A REDE,Brazil,BR,0,265023,LACNIC
22,0,0,34511,A & R TELECOMUNICAÇÕES LTDA,Brazil,BR,0,270773,LACNIC
22,0,0,34511,NRConnect Internet,Brazil,BR,0,269114,LACNIC
22,5,0,34511,Everest Soluções em Telecomunicações Ltda,Brazil,BR,0.23,263580,LACNIC
22,0,0,34511,FRANCISCO ADSON DE MELO SOARES,Brazil,BR,0,269198,LACNIC
22,0,0,34511,TEC PLUS TELECOMUNICAO LTDA,Brazil,BR,0,269535,LACNIC
22,0,0,34511,jn cabral & cia ltda me,Brazil,BR,0,264168,LACNIC
22,0,0,34511,Link Web,Brazil,BR,0,263514,LACNIC
22,0,0,34511,VALE VERDE TELECOMUNICACOES LTDA - ME,Brazil,BR,0,269147,LACNIC
22,22,0,34511,MT INTERNET COMERCIO & SERVICO LTDA,Brazil,BR,1,266484,LACNIC
22,0,0,34511,Space Net Provedor de Internet Ltda,Brazil,BR,0,267306,LACNIC
22,22,0,34511,FIBER LINK,Brazil,BR,1,268717,LACNIC
22,0,0,34511,Onefibra Telecomunicações Ltda,Brazil,BR,0,267331,LACNIC
22,0,0,34511,RMS Connect Telecomunicações LTDA,Brazil,BR,0,263081,LACNIC
22,0,0,34511,Conecte Telecom,Brazil,BR,0,269153,LACNIC
22,0,0,34511,Aliança Link Provedor de Internet,Brazil,BR,0,268328,LACNIC
22,0,0,34511,TELECOM FOZ,Brazil,BR,0,263404,LACNIC
22,0,0,34511,ALAN ROBERTO STEILEIN ME,Brazil,BR,0,267133,LACNIC
22,0,0,34511,EL Informática Ltda ME,Brazil,BR,0,265350,LACNIC
22,0,0,34511,INTERPLUS TECNLOGIA,Brazil,BR,0,268135,LACNIC
22,0,0,34511,JE INFORMATICA LTDA,Brazil,BR,0,268274,LACNIC
22,0,0,34511,SPEEDING TELECOM,Brazil,BR,0,52704,LACNIC
22,0,0,34511,JACTOS INTERNET,Brazil,BR,0,268926,LACNIC
22,0,0,34511,UnoNet Telecomunicações LTDA,Brazil,BR,0,265205,LACNIC
22,0,0,34511,Estrelas Tecnoligia da Informação Ltda.,Brazil,BR,0,268471,LACNIC
22,0,0,34511,BINARY NET TELECOMUNICAÇÕES EIRELI,Brazil,BR,0,268771,LACNIC
22,0,0,34511,SATLINK TELECOM LTDA,Brazil,BR,0,265320,LACNIC
22,0,0,34511,DIEGO DE SAO MIGUEL FRANCA,Brazil,BR,0,266955,LACNIC
22,0,0,34511,TVAC TV ANTENA COMUNITÁRIA LTDA EPP,Brazil,BR,0,61863,LACNIC
22,0,0,34511,jose nilton de freitas e cia ltda,Brazil,BR,0,265386,LACNIC
22,0,0,34511,F T L Net Provedor de Internet Ltda- ME,Brazil,BR,0,269016,LACNIC
22,0,0,34511,UNIMED BELEM-COOPERATIVA DE TRABALHO MEDICO,Brazil,BR,0,263012,LACNIC
22,0,0,34511,Handrigo jose Antunes,Brazil,BR,0,265295,LACNIC
22,0,0,34511,PROINFO-COMERCIO E SERVIÇOS P/INFORMÁTICA LTDA-ME,Brazil,BR,0,269481,LACNIC
22,0,0,34511,Sanhati Infocom Services Private Limited,India,IN,0,136633,APNIC
22,0,0,34511,SISTELBRAS TELECOM,Brazil,BR,0,268429,LACNIC
22,0,0,34511,G.W. DA SILVA SERVICOS DE COMUNICACAO MULTIMIDIA -,Brazil,BR,0,266063,LACNIC
22,0,0,34511,CYBERNET LTDA,Brazil,BR,0,269097,LACNIC
22,0,0,34511,EWERTON DA SILVA LOPES TELECOMUNICAÇÕES,Brazil,BR,0,268314,LACNIC
22,0,0,34511,NETWORK INFORMATICA LTDA. - ME,Brazil,BR,0,265448,LACNIC
22,0,0,34511,KD INTERNET,Brazil,BR,0,265357,LACNIC
22,0,0,34511,NETLINKPE.INFO LTDA,Brazil,BR,0,271061,LACNIC
22,0,0,34511,CONTRATE TELECOMUNICAÇÕES LTDA,Brazil,BR,0,265439,LACNIC
22,0,0,34511,tecnet provedor telecom ltda me,Brazil,BR,0,265437,LACNIC
22,0,0,34511,Impactnet Telecomunicacoes LTDA,Brazil,BR,0,61638,LACNIC
22,0,0,34511,Manoel da Silva Pinto Filho,Brazil,BR,0,268928,LACNIC
22,0,0,34511,ITACELL TELECOM LTDA,Brazil,BR,0,267540,LACNIC
22,0,0,34511,GOSPEL NET,Brazil,BR,0,268802,LACNIC
22,0,0,34511,INFORWAY INFORMATICA E TELEFONIA LTDA - ME,Brazil,BR,0,266943,LACNIC
22,0,0,34511,JOSE N. D. DE C. J. - PRONET - PROVEDOR,Brazil,BR,0,266268,LACNIC
22,20,0,34511,LINK NET WORLD SERVICO DE COMUNICACAO EI,Brazil,BR,0.91,268739,LACNIC
22,0,0,34511,JAIRO ALMEIDA DA SILVA ME,Brazil,BR,0,268112,LACNIC
22,0,0,34511,2B BANDA LARGA,Brazil,BR,0,268948,LACNIC
22,0,0,34511,E C de CANO,Brazil,BR,0,268791,LACNIC
22,0,0,34511,TG COMUNICACOES LTDA - ME,Brazil,BR,0,267022,LACNIC
22,0,0,34511,NOVA REDE TELECOM,Brazil,BR,0,266563,LACNIC
22,0,0,34511,TAI Telecom,Brazil,BR,0,268129,LACNIC
22,6,0,34511,FIBERNET TV SAS,Colombia,CO,0.27,270062,LACNIC
22,0,0,34511,Genesis Data SAS,Colombia,CO,0,263802,LACNIC
22,22,0,34511,Teleperformance Colombia,Colombia,CO,1,264829,LACNIC
22,16,0,34511,DataWare Sistemas S.A.S.,Colombia,CO,0.73,61467,LACNIC
22,8,0,34511,CABLEMAS SAS,Colombia,CO,0.36,264796,LACNIC
22,3,0,34511,KUATRO COMUNICACIONES,Colombia,CO,0.14,263691,LACNIC
22,0,0,34511,Jewel Changi Airport Trustee Pte. Ltd.,Singapore,SG,0,138539,APNIC
22,0,0,34511,ALKAN Telecom,Egypt,EG,0,36990,AFRINIC
22,0,0,34511,The Egyptian Stock Exchange,Egypt,EG,0,328645,AFRINIC
22,20,0,34511,Eesti Post AS,Estonia,EE,0.91,201906,RIPE NCC
22,0,0,34511,Admiral Markets AS,Estonia,EE,0,202063,RIPE NCC
22,0,0,34511,eProcess International SA (Ecobank Group),Ghana,GH,0,328252,AFRINIC
22,0,0,34511,"TELNET CO.,LTD",Cambodia,KH,0,137853,APNIC
22,0,0,34511,"NSM SOLUTION AND MAINTENANCE CO., LTD.",Cambodia,KH,0,138629,APNIC
22,6,0,34511,"EMPIRE TECH Co., Ltd.",Cambodia,KH,0.27,138528,APNIC
22,22,0,34511,INTERNET KOMUNIKATSION TSANTSER LLC,Armenia,AM,1,208997,RIPE NCC
22,0,0,34511,Fnet LLC,Armenia,AM,0,205368,RIPE NCC
22,0,0,34511,"""Virus Net"" LLC",Armenia,AM,0,207810,RIPE NCC
22,8,0,34511,TINS LLC,Armenia,AM,0.36,207980,RIPE NCC
22,0,0,34511,Interlink LLC,Armenia,AM,0,205277,RIPE NCC
22,0,0,34511,ACHON LLC,Armenia,AM,0,207991,RIPE NCC
22,0,0,34511,IP DATA LTDA,Colombia,CO,0,264842,LACNIC
22,0,0,34511,"Online Company for Technological Information, Supply of Electronic Equipment and Internet Services Through Wifi Ltd.",Iraq,IQ,0,207097,RIPE NCC
22,0,0,34511,JOFRE HOMERO PACHECO PROAÑO,Ecuador,EC,0,271840,LACNIC
22,0,0,34511,Teneda Corporación CIA. LTDA,Ecuador,EC,0,265724,LACNIC
22,0,0,34511,Euchner GmbH + Co. KG,Germany,DE,0,205854,RIPE NCC
22,0,0,34511,Stadtwerke Baden-Baden,Germany,DE,0,207572,RIPE NCC
22,0,0,34511,SYScon GmbH Systeme plus Consulting,Germany,DE,0,206497,RIPE NCC
22,0,0,34511,Damovo Deutschland GmbH & Co. KG,Germany,DE,0,205519,RIPE NCC
22,0,0,34511,Essener Systemhaus,Germany,DE,0,205807,RIPE NCC
22,0,0,34511,WILO SE,Germany,DE,0,208927,RIPE NCC
22,0,0,34511,BWI GmbH,Germany,DE,0,51733,RIPE NCC
22,0,0,34511,REHAU AG + Co,Germany,DE,0,204138,RIPE NCC
22,0,0,34511,Design Offices GmbH,Germany,DE,0,210183,RIPE NCC
22,0,0,34511,BSH IT Solutions GmbH,Germany,DE,0,208517,RIPE NCC
22,0,0,34511,KADSOFT Computer GmbH,Germany,DE,0,205691,RIPE NCC
22,0,0,34511,HENSOLDT Optronics GmbH,Germany,DE,0,202526,RIPE NCC
22,0,0,34511,Sirona Dental Systems GmbH,Germany,DE,0,200402,RIPE NCC
22,0,0,34511,Stadtwerke Lutherstadt Eisleben GmbH,Germany,DE,0,206196,RIPE NCC
22,0,0,34511,LVM Landwirtschaftlicher Versicherungsverein Muenster a.G.,Germany,DE,0,201530,RIPE NCC
22,0,0,34511,LKG Lausitzer Kabelbetriebsgesellschaft mbH,Germany,DE,0,205582,RIPE NCC
22,0,0,34511,TUEV NORD Service GmbH & Co KG,Germany,DE,0,200003,RIPE NCC
22,0,0,34511,SERVITELCONET CIA. LTDA.,Ecuador,EC,0,271795,LACNIC
22,22,0,34511,María Teresa Vivar (CITYCOM),Ecuador,EC,1,264746,LACNIC
22,22,0,34511,SIGNAL-TELECOM TELECOMUNICACIONES & T.I CIA.LTDA.,Ecuador,EC,1,270071,LACNIC
22,0,0,34511,LOJASYSTEM C.A.,Ecuador,EC,0,266894,LACNIC
22,0,0,34511,Universidad de Guayaquil,Ecuador,EC,0,269992,LACNIC
22,22,0,34511,Time-Net Private Company for Internet and Wireless Services Ltd.,Iraq,IQ,1,62223,RIPE NCC
22,12,0,34511,Live Link Internet Service Provider PVT LTD.,Iraq,IQ,0.55,207138,RIPE NCC
22,0,0,34511,Al-Hadetha for software and Automation Ltd,Iraq,IQ,0,201272,RIPE NCC
22,0,0,34511,NetLine Ltd.,Russia,RU,0,57711,RIPE NCC
22,0,0,34511,Private higher education institution autonomous nonprofit organisation 'Regional Finance and Economic Institute',Russia,RU,0,41599,RIPE NCC
22,0,0,34511,InterMAX Regional Networks LLC,Russia,RU,0,201151,RIPE NCC
22,0,0,34511,Atlanta LLC,Russia,RU,0,206333,RIPE NCC
22,0,0,34511,Tele-K Ltd.,Russia,RU,0,198758,RIPE NCC
22,0,0,34511,PremierKom OOO,Russia,RU,0,62286,RIPE NCC
22,0,0,34511,"OOO ""Sestroretskoe Cable Television""",Russia,RU,0,50105,RIPE NCC
22,0,0,34511,Tele-Club Ltd.,Russia,RU,0,56677,RIPE NCC
22,0,0,34511,Eutelsat Networks LLC,Russia,RU,0,204276,RIPE NCC
22,0,0,34511,Severnye volokonno-opticheskie sistemy Ltd.,Russia,RU,0,204077,RIPE NCC
22,0,0,34511,TV CENTER JSC,Russia,RU,0,199975,RIPE NCC
22,0,0,34511,Informational-measuring systems Ltd.,Russia,RU,0,42482,RIPE NCC
22,0,0,34511,M-Telecom Ltd.,Russia,RU,0,48369,RIPE NCC
22,0,0,34511,Omsk State Technical University,Russia,RU,0,198384,RIPE NCC
22,0,0,34511,"LLC ""Trans Analitica""",Russia,RU,0,62130,RIPE NCC
22,0,0,34511,Gamma-Service LTD,Russia,RU,0,198130,RIPE NCC
22,0,0,34511,"LTD ""Inter RAO - Information Technology""",Russia,RU,0,60864,RIPE NCC
22,0,0,34511,Vasilyev Ivan Ivanovich,Russia,RU,0,39523,RIPE NCC
22,0,0,34511,Autonomous state organization or The Komi Republic Centre of informational technologies,Russia,RU,0,56760,RIPE NCC
22,0,0,34511,individual entrepreneur Konyaev Igor,Russia,RU,0,60693,RIPE NCC
22,0,0,34511,TSUM Trading House OJSC,Russia,RU,0,205153,RIPE NCC
22,0,0,34511,"""Semantic"" LLC",Russia,RU,0,202234,RIPE NCC
22,0,0,34511,Bezheckaya Internet Company ltd.,Russia,RU,0,58048,RIPE NCC
22,0,0,34511,LLC Daginfonet,Russia,RU,0,209219,RIPE NCC
22,0,0,34511,"CJSC ""Kubanoptprodtorg""",Russia,RU,0,57323,RIPE NCC
22,0,0,34511,Afnan Al-Harith LTD,Iraq,IQ,0,204149,RIPE NCC
22,5,0,34511,Sama Madeniti for Communication & Internet Ltd.,Iraq,IQ,0.23,201668,RIPE NCC
22,0,0,34511,SCIS,Iraq,IQ,0,198169,RIPE NCC
22,9,0,34511,"Smart Link Company for Internet Service, special company and limited responsibility",Iraq,IQ,0.41,208115,RIPE NCC
22,0,0,34511,Knowledge Path for Information Technology and General Trading Ltd,Iraq,IQ,0,12952,RIPE NCC
22,0,0,34511,Cloud Company for General Services Ltd,Iraq,IQ,0,208131,RIPE NCC
22,0,0,34511,Techno Fast Company for General Contracting and Trading Ltd.,Iraq,IQ,0,205049,RIPE NCC
22,0,0,34511,Next Net for Internet and IT Services LTD,Iraq,IQ,0,34515,RIPE NCC
22,0,0,34511,ScopeSky Communication and Internet Ltd.,Iraq,IQ,0,211341,RIPE NCC
22,0,0,34511,"ALTAMEER for Trading , General Transportation and Electromechanical Services Ltd",Iraq,IQ,0,207928,RIPE NCC
22,0,0,34511,Stadt Dortmund,Germany,DE,0,206341,RIPE NCC
22,21,0,34511,"""PAIK"" Company for Communication and General Trade Importation& Exportation Limited",Iraq,IQ,0.95,204249,RIPE NCC
22,0,0,34511,TELENET KOM DOO,Macedonia,MK,0,43452,RIPE NCC
22,0,0,34511,Multimedija Netvork L DOOEL Export-Import Gostivar,Macedonia,MK,0,49914,RIPE NCC
22,22,0,34511,Fortune Telecom Company Limited,Myanmar,MM,1,136617,APNIC
22,0,0,34511,Asia Mega Link Company Limited,Myanmar,MM,0,135111,APNIC
22,0,0,34511,"ManauLinks Co.,Ltd.",Myanmar,MM,0,138684,APNIC
22,0,0,34511,Joint Stock Company Angarsk Electrolysis Chemical Complex,Russia,RU,0,57737,RIPE NCC
22,0,0,34511,I-Teco JSC,Russia,RU,0,204226,RIPE NCC
22,0,0,34511,Siberian Internet Company LLC,Russia,RU,0,42870,RIPE NCC
22,0,0,34511,Gorset Ltd.,Russia,RU,0,198755,RIPE NCC
22,0,0,34511,"State Educational Institution of higher professional Education ""Dagestan State University""",Russia,RU,0,39131,RIPE NCC
22,0,0,34511,Institution Central Information and Analytical Center at the Ministry of Education of Belarus,Belarus,BY,0,5498,RIPE NCC
22,0,0,34511,Bernd Garthoff,Germany,DE,0,208451,RIPE NCC
22,0,0,34511,Corpex Internet GmbH,Germany,DE,0,39227,RIPE NCC
22,0,0,34511,METRO Cash & Carry LLC,Germany,DE,0,34381,RIPE NCC
22,0,0,34511,Conect Telecomunicações Ltda. ME,Brazil,BR,0,268413,LACNIC
22,0,0,34511,Valdijanio Vieira da Silva Eireli - Me,Brazil,BR,0,266282,LACNIC
22,0,0,34511,Jefferson Mantovani ltda me,Brazil,BR,0,266526,LACNIC
22,0,0,34511,R E COMERCIO E SERVIÇOS DE INTERNET LTDA,Brazil,BR,0,264340,LACNIC
22,0,0,34511,Ontell Serviços de Banda Larga e Tecnologia LTDA,Brazil,BR,0,268031,LACNIC
22,0,0,34511,Fibranet Juiz de Fora Serviços de Telecomunicações,Brazil,BR,0,267070,LACNIC
22,0,0,34511,BISCHOFF & SILVA LTDA,Brazil,BR,0,61667,LACNIC
22,0,0,34511,PR Comunicação Ltda,Brazil,BR,0,265001,LACNIC
22,0,0,34511,GV telecomunicações LTDA - ME,Brazil,BR,0,267935,LACNIC
22,0,0,34511,Transdados Telecom,Brazil,BR,0,264284,LACNIC
22,0,0,34511,CLUUB INTERNET E SERVICOS LTDA - ME,Brazil,BR,0,268347,LACNIC
22,0,0,34511,Leilane de Vasconcelos Pereira,Brazil,BR,0,269128,LACNIC
22,0,0,34511,Solucao Servicos de Internet Tanabi LTDA. - ME,Brazil,BR,0,266252,LACNIC
22,0,0,34511,Net Speed BA,Brazil,BR,0,266102,LACNIC
22,4,0,34511,J D S MEDEIROS PROVEDOR DE INTERNET - ME,Brazil,BR,0.18,266285,LACNIC
22,0,0,34511,FIBER UP TELECOM EIRELI,Brazil,BR,0,268635,LACNIC
22,0,0,34511,Rafael Pierre Barbosa - Me,Brazil,BR,0,267586,LACNIC
22,0,0,34511,PROVEDOR RJ NET RS LTDA - EPP,Brazil,BR,0,266386,LACNIC
22,0,0,34511,Antonio J De Albuquerque ME,Brazil,BR,0,266514,LACNIC
22,8,0,34511,Jr Net Informatica Ltda - ME,Brazil,BR,0.36,61657,LACNIC
22,0,0,34511,Meta Servers Tecnologia e Telecomunicacaoes Ltda,Brazil,BR,0,61653,LACNIC
22,0,0,34511,SETE CONNECT TECNOLOGIA DA INFORMACAO,Brazil,BR,0,268797,LACNIC
22,22,0,34511,Netsoluti Consultoria e Soluções em Informática,Brazil,BR,1,267210,LACNIC
22,0,0,34511,CALIFORNIA TELECOM LTDA,Brazil,BR,0,268402,LACNIC
22,0,0,34511,C. X. B. TELECOMUNICACOES LTDA - ME,Brazil,BR,0,266005,LACNIC
22,0,0,34511,VIRTUALNET PROVEDORES LTDA ME,Brazil,BR,0,267090,LACNIC
22,0,0,34511,Z.GARCIA SGARBOSSA,Brazil,BR,0,267140,LACNIC
22,0,0,34511,BRICK TELECOMUNICACOES,Brazil,BR,0,266537,LACNIC
22,0,0,34511,TECH PIGNATON TELECOMUNICACOES LTDA,Brazil,BR,0,268286,LACNIC
22,0,0,34511,NETFLESH TELECOM E COM DE PROD DE INFORMAT LTDA-ME,Brazil,BR,0,267537,LACNIC
22,0,0,34511,CONECTA ELETRICIDADE E SERVICOS LTDA,Brazil,BR,0,267132,LACNIC
22,0,0,34511,Ferreira & Freitas Telecomunicações LTDA-ME,Brazil,BR,0,266278,LACNIC
22,0,0,34511,TV Barigui Ltda.,Brazil,BR,0,266457,LACNIC
22,0,0,34511,RODRIGO OLIVEIRA DE SOUSA,Brazil,BR,0,268741,LACNIC
22,0,0,34511,WG TELECOM LTDA - ME,Brazil,BR,0,267609,LACNIC
22,0,0,34511,ALMEIDA CARMO INFORMATICA LTDA-ME,Brazil,BR,0,267267,LACNIC
22,0,0,34511,R GALDINO DE ALMEIDA,Brazil,BR,0,268673,LACNIC
22,0,0,34511,oliveira & sousa comunicações Ltda,Brazil,BR,0,267450,LACNIC
22,0,0,34511,D JOSE OLIVEIRA ROSA TELEFONIA EIRELI,Brazil,BR,0,264862,LACNIC
22,0,0,34511,S & E SERVICOS DE INTERNET LTDA,Brazil,BR,0,267368,LACNIC
22,0,0,34511,AMIGALINK COMUNICACOES LTDA - ME,Brazil,BR,0,268245,LACNIC
22,0,0,34511,PROVEDOR MIRASSOL LTDA - ME,Brazil,BR,0,267295,LACNIC
22,0,0,34511,ERBCOM TELECOMUNICACOES EIRELI - ME,Brazil,BR,0,268972,LACNIC
22,0,0,34511,DUPONT & SCHWANKE LTDA,Brazil,BR,0,265140,LACNIC
22,0,0,34511,RIACHONET TELECOM,Brazil,BR,0,266924,LACNIC
22,0,0,34511,Conexao Telematica LTDA,Brazil,BR,0,61922,LACNIC
22,0,0,34511,Duarte & Dias Eletroeletronicos Ltda ME,Brazil,BR,0,265129,LACNIC
22,0,0,34511,Delta Comercio Informatica Ltda,Brazil,BR,0,264441,LACNIC
22,0,0,34511,INFINITY NET,Brazil,BR,0,268841,LACNIC
22,0,0,34511,ITJSC SERVICOS DE COMUNICACAO E SOLUCOES LTDA - ME,Brazil,BR,0,266446,LACNIC
22,0,0,34511,Rede.com Telecom Ltda - ME,Brazil,BR,0,266049,LACNIC
22,0,0,34511,FIBER CONNECT LTDA,Brazil,BR,0,264033,LACNIC
22,0,0,34511,Skyturbo Telecom,Brazil,BR,0,268541,LACNIC
22,0,0,34511,RJ Tecnologia Provedores do Brasil LTDA - ME,Brazil,BR,0,266505,LACNIC
22,0,0,34511,DESTAK NET LTDA,Brazil,BR,0,268249,LACNIC
22,0,0,34511,TOPNET-MS LTDA - ME,Brazil,BR,0,266168,LACNIC
22,0,0,34511,SUPERNET TELECOM LTDA - ME,Brazil,BR,0,265486,LACNIC
22,0,0,34511,A ALBANES GARCIA TECNOLOGIA LTDA ME,Brazil,BR,0,263389,LACNIC
22,0,0,34511,ITCONNECT TECNOLOGIA DA INFORMACAO LTDA.,Brazil,BR,0,264309,LACNIC
22,7,0,34511,MR Telecom,Brazil,BR,0.32,61725,LACNIC
22,0,0,34511,SITE - Soluc. em Inf. Telec. e Eng. Ltda. - BRSITE,Brazil,BR,0,262351,LACNIC
22,0,0,34511,ITA TELECOM,Brazil,BR,0,265472,LACNIC
22,22,0,34511,Eclipse Telecom,Brazil,BR,1,264328,LACNIC
22,0,0,34511,First Telecom LTDA,Brazil,BR,0,269046,LACNIC
22,0,0,34511,IGP FIBRA,Brazil,BR,0,268201,LACNIC
22,0,0,34511,DATALIG TELECOM EIRELI - ME,Brazil,BR,0,265979,LACNIC
22,0,0,34511,rocha e portes ltda,Brazil,BR,0,263350,LACNIC
22,0,0,34511,TRANSCORPORACION S.A.,Ecuador,EC,0,267756,LACNIC
22,0,0,34511,SOLINTELSA,Ecuador,EC,0,262169,LACNIC
22,0,0,34511,SAOREDES CIA. LTDA. (SAOHOSTING),Ecuador,EC,0,267881,LACNIC
22,0,0,34511,Haufe-Lexware GmbH & Co. KG,Germany,DE,0,44404,RIPE NCC
22,0,0,34511,WIFISAX GmbH,Germany,DE,0,208290,RIPE NCC
22,0,0,34511,AUDICOM TECNOLOGIA E TELECOM LTDA,Brazil,BR,0,268289,LACNIC
22,0,0,34511,Lehi Vanderlei de Aguiar Telecomunicação - ME,Brazil,BR,0,268150,LACNIC
22,0,0,34511,Virtual Slice Provedor de Acesso a Internet Ltda,Brazil,BR,0,262616,LACNIC
22,0,0,34511,FLY NET SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA,Brazil,BR,0,268955,LACNIC
22,0,0,34511,CONNECTMAX TELECOM,Brazil,BR,0,268824,LACNIC
22,0,0,34511,SIM TELECOM EIRELI,Brazil,BR,0,266095,LACNIC
22,0,0,34511,Telecomunicações S. Gonçalves ltda-ME,Brazil,BR,0,268194,LACNIC
22,0,0,34511,SpeedyNet Comunicacao Multimídia - Eireli,Brazil,BR,0,268048,LACNIC
22,0,0,34511,E V S Ferreira Serviços Me,Brazil,BR,0,266527,LACNIC
22,0,0,34511,SH INFORMÁTICA,Brazil,BR,0,267589,LACNIC
22,0,0,34511,DONWLOAD NET TELECOM LTDA - ME,Brazil,BR,0,268170,LACNIC
22,0,0,34511,RM FIBRA TELECOM LTDA,Brazil,BR,0,266330,LACNIC
22,22,0,34511,tatiana de souza informatica me,Brazil,BR,1,268156,LACNIC
22,0,0,34511,L&A Internet,Brazil,BR,0,268474,LACNIC
22,0,0,34511,4WNET ES TELECOMUNICAÇÕES EIRELE ME,Brazil,BR,0,268707,LACNIC
22,0,0,34511,CONECT TELECOM COMUNICAÇÃO LTDA,Brazil,BR,0,268737,LACNIC
22,0,0,34511,Clesat Comunicação e Manutenção em Eletro.LDTA ME,Brazil,BR,0,264902,LACNIC
22,0,0,34511,Golfinho Internet,Brazil,BR,0,265466,LACNIC
22,0,0,34511,Seta Micros Ltda,Brazil,BR,0,263295,LACNIC
22,0,0,34511,Lajenet Telecom,Brazil,BR,0,264195,LACNIC
22,0,0,34511,H-NET TELECOM LTDA,Brazil,BR,0,268782,LACNIC
22,0,0,34511,speed net redes serviços comunicaçao ltda-me,Brazil,BR,0,268483,LACNIC
22,0,0,34511,ViaWeb Telecom,Brazil,BR,0,266004,LACNIC
22,0,0,34511,José Manoel Viana Filho ME,Brazil,BR,0,265360,LACNIC
22,0,0,34511,MARCELO A DOS SANTOS EIRELE -ME,Brazil,BR,0,267044,LACNIC
22,0,0,34511,Ilha Turbo Tecnologia Ltda Me,Brazil,BR,0,52803,LACNIC
